[2024-07-27T02:38:40.308+0000] {processor.py:161} INFO - Started process (PID=2711) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-27T02:38:40.310+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-07-27T02:38:40.311+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.311+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-27T02:38:40.327+0000] {processor.py:840} INFO - DAG(s) 'dataset_produces_1', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_and_2', 'conditional_dataset_and_time_based_timetable', 'dataset_produces_2' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-07-27T02:38:40.376+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.376+0000] {dag.py:3089} INFO - Sync 10 DAGs
[2024-07-27T02:38:40.407+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.407+0000] {dag.py:3947} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-07-24 01:00:00+00:00, run_after=2024-07-24 01:00:00+00:00
[2024-07-27T02:38:40.413+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.413+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-07-27T02:38:40.416+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.416+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-07-27T02:38:40.418+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.418+0000] {dag.py:3947} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-07-27T02:38:40.420+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.420+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-07-27T02:38:40.422+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.422+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-07-27T02:38:40.424+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.424+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-07-27T02:38:40.426+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.425+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-07-27T02:38:40.428+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.428+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_1 to 2024-07-26 00:00:00+00:00, run_after=2024-07-27 00:00:00+00:00
[2024-07-27T02:38:40.430+0000] {logging_mixin.py:188} INFO - [2024-07-27T02:38:40.429+0000] {dag.py:3947} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-07-27T02:38:40.473+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.171 seconds
